excluida;linha;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;AVALIADOR.3;AVALIADOR.2;AVALIADOR.1;VOTO.COERENTE;VOTO.INCOERENTE;COERENCIA.FINAL;dptOIE;stanford;orange;mquni;lys;sistemas;COERÊNCIA
;238;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é;que o próprio túnel desabe ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;239;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é;um ex - bombeiro ;1;1;1;3;0;1;0;0;0;1;0;mquni;1
;240;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;( Sylvester Stallone ) ;0;0;0;0;3;0;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;0
;241;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel ;0;0;0;0;3;0;1;1;1;1;0;stanford, orange, mquni, dptoie;0
;242;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas ;0;0;0;0;3;0;1;1;1;0;0;stanford, orange, dptoie;0
X;243;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
X;244;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;antes que ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;245;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;um ex - bombeiro que precisará entrar e resgatar as vítimas ;0;0;1;1;2;0;1;1;1;0;0;stanford, orange, dptoie;1
X;246;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;um ex - bombeiro que precisará entrar e resgatar as vítimas antes que ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;247;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;um ex - bombeiro que precisará entrar en o túnel ;0;0;1;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie;1
;248;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;Kit Latura ; é;( Sylvester Stallone ) ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
X;249;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;o ar ; se esgote;;X;x;x;0;0;0;1;0;0;0;0;dptoie, dptoie;x
;250;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;o ar ; se esgote;ou que o próprio túnel desabe ;0;0;0;0;3;0;0;1;1;1;0;stanford, orange, mquni;0
X;251;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;o ar ; se esgote;ou que o próprio túnel desabe ;X;x;x;0;0;0;0;1;1;1;0;stanford, stanford, stanford, orange, orange, orange, mquni, mquni, mquni;x
;252;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;um ex - bombeiro ; precisará;entrar en o túnel ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;253;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;um ex - bombeiro ; precisará;entrar en o túnel e resgatar as vítimas ;1;1;1;3;0;1;1;1;1;0;0;stanford, orange, dptoie;1
X;254;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;um ex - bombeiro ; precisará;entrar en o túnel e resgatar as vítimas antes que ;0;0;0;0;3;0;0;1;1;1;0;stanford, orange, mquni;0
;255;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;3 528 habitantes e em 2007 de 3 570 habitantes ; era;segundo dados de o IBGE ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;256;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;2007 de 3 570 habitantes ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;257;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes ;1;1;1;3;0;1;1;0;1;0;1;orange, lys, dptoie;1
;258;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes 2007 de 3 570 habitantes ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;259;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes 2007 de 3 570 habitantes , segundo dados de o IBGE ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;260;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes e em 2007 de 3 570 habitantes ;1;1;1;3;0;1;0;1;0;0;0;stanford;1
;261;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE ;1;1;1;3;0;1;1;0;1;0;0;orange, dptoie;1
;262;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes em 2007 ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;263;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes em 2007 e em 2007 de 3 570 habitantes ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;264;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;de 3 528 habitantes em 2007 e em 2007 de 3 570 habitantes , segundo dados de o IBGE ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;265;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;em 2007 de 3 570 habitantes segundo dados de o IBGE ;1;1;1;3;0;1;0;0;1;0;0;orange;1
;266;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;em 2007 em 2007 de 3 570 habitantes ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;267;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; era;segundo dados de o IBGE ;0;0;1;1;2;0;1;1;0;1;1;stanford, mquni, lys, dptoie;1
;268;21;Sua população estimada em 2004 era de 3 528 habitantes e em 2007 de 3 570 habitantes , segundo dados de o IBGE . ;Sua população ; estimada;em 2004 ;0;1;0;1;2;0;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;0
;269;22;O diagrama seguinte representa as localidades em um raio de 8 km a o redor de Muniz . ;O diagrama seguinte ; representa;as localidades em um raio de 8 km ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;270;22;O diagrama seguinte representa as localidades em um raio de 8 km a o redor de Muniz . ;O diagrama seguinte ; representa;as localidades em um raio de 8 km a o redor de Muniz ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;271;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13; foram;contra 10 de o rival e ídolo Rogério Ceni ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;272;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13; foram;en o total ;0;0;0;0;3;0;0;0;0;1;1;mquni, lys;0
;273;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13; foram;en o total , contra 10 de ídolo ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;274;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13; foram;en o total , contra 10 de o rival ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;275;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13; foram;en o total , contra 10 de o rival e ídolo Rogério Ceni ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;276;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13; foram;en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo en a disputa de a Séria B de o Campeonato Brasileiro ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;277;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13; foram;sendo en a disputa de a Séria B de o Campeonato Brasileiro ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;278;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13 en o total ; foram;contra 10 de ídolo ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;279;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13 en o total ; foram;contra 10 de o rival ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;280;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;13 en o total ; foram;contra 10 de o rival e ídolo Rogério Ceni ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;281;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;9; sendo;en a disputa de a Séria B de o Campeonato Brasileiro ;0;0;0;0;3;0;0;0;0;1;1;mquni, lys;0
;282;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;e ídolo ; é;Rogério Ceni ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;283;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;ídolo ; é;Rogério Ceni ;1;1;1;3;0;1;0;0;1;0;0;orange;1
;284;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;o goleiro com mais gols en o Brasil ; foi;Em 2007 ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;285;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;o rival ; é;Rogério Ceni ;1;1;1;3;0;1;1;1;0;1;0;stanford, mquni, dptoie;1
;286;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;Em 2007 ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;287;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;288;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro , contra 10 de o rival e ídolo Rogério Ceni ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;289;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro , sendo ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;290;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro 13 en o total ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;291;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;292;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil , 13 en o total ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;293;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de ídolo ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;294;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de ídolo Em 2007 ;0;1;1;2;1;1;1;0;0;0;0;dptoie;1
;295;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;296;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival e ídolo Rogério Ceni ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;297;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;298;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro com mais gols en o Brasil , 13 en o total , contra 10 de o rival Em 2007 ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;299;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi;o goleiro Em 2007 ;1;1;1;3;0;1;1;0;1;1;1;orange, mquni, lys, dptoie;1
;300;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi o goleiro;com mais gols ;1;1;1;3;0;1;0;0;1;1;1;orange, mquni, lys;1
;301;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi o goleiro;com mais gols en o Brasil ;1;1;1;3;0;1;0;0;1;1;1;orange, mquni, lys;1
;302;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi o goleiro;com mais gols en o Brasil , sendo en a disputa de a Séria B de o Campeonato Brasileiro ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;303;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi o goleiro;Em 2007 ;1;1;1;3;0;1;0;0;1;1;1;orange, mquni, lys;1
;304;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi o goleiro;en o Brasil ;1;1;1;3;0;1;0;0;1;1;1;orange, mquni, lys;1
;305;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foi o goleiro;sendo en a disputa de a Séria B de o Campeonato Brasileiro ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;306;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foram;contra 10 de o rival e ídolo Rogério Ceni ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;307;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foram;en o total ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;308;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foram;en o total , contra 10 de ídolo ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;309;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foram;en o total , contra 10 de o rival ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;310;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foram;en o total , contra 10 de o rival e ídolo Rogério Ceni ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;311;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foram;en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo en a disputa de a Séria B de o Campeonato Brasileiro ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;312;23;Em 2007 , Tiago foi o goleiro com mais gols en o Brasil , foram 13 en o total , contra 10 de o rival e ídolo Rogério Ceni , sendo 9 en a disputa de a Séria B de o Campeonato Brasileiro . ;Tiago ; foram;sendo en a disputa de a Séria B de o Campeonato Brasileiro ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;313;24;O seu significado é celeiro , despenseiro . ;O seu significado ; é;celeiro ;1;1;1;3;0;1;0;1;1;1;1;stanford, orange, mquni, lys;1
;314;24;O seu significado é celeiro , despenseiro . ;O seu significado ; é;celeiro , despenseiro ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;315;24;O seu significado é celeiro , despenseiro . ;O seu significado ; é;despenseiro ;1;1;1;3;0;1;0;1;1;1;1;stanford, orange, mquni, lys;1
;316;24;O seu significado é celeiro , despenseiro . ;O seu significado ; é celeiro;despenseiro ;0;1;1;2;1;1;1;0;0;0;0;dptoie;1
;317;25;Naganuma ( asteróide 15350 ) é um asteróide de a cintura principal , a 1,7205248 UA . ;Naganuma ; é;um asteróide de a cintura principal ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;318;25;Naganuma ( asteróide 15350 ) é um asteróide de a cintura principal , a 1,7205248 UA . ;Naganuma ; é um asteróide;a 1,7205248 UA ;0;1;1;2;1;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;319;25;Naganuma ( asteróide 15350 ) é um asteróide de a cintura principal , a 1,7205248 UA . ;Naganuma ; é um asteróide;de a cintura principal ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;320;25;Naganuma ( asteróide 15350 ) é um asteróide de a cintura principal , a 1,7205248 UA . ;Naganuma ; é um asteróide;de a cintura principal , a 1,7205248 UA ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;321;26;A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ;A galáxia ; é;NGC 3158 ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;322;26;A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ;A galáxia ; foi descoberta;em 17 de Março de 1787 ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;323;26;A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ;A galáxia ; foi descoberta;em 17 de Março de 1787 por William Herschel ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;324;26;A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ;A galáxia ; foi descoberta;por William Herschel ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;325;26;A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ;NGC 3158 ; foi descoberta;em 17 de Março de 1787 ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;326;26;A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ;NGC 3158 ; foi descoberta;em 17 de Março de 1787 por William Herschel ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;327;26;A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel . ;NGC 3158 ; foi descoberta;por William Herschel ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;328;27;en a partida de a fase final a equipe que tiver obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional , realizará a partida en a condição de mandante . ;a equipe ; realizará;a partida ;0;1;0;1;2;0;0;1;1;1;1;stanford, orange, mquni, lys;0
;329;27;en a partida de a fase final a equipe que tiver obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional , realizará a partida en a condição de mandante . ;a equipe ; realizará;a partida en a condição de mandante ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;330;27;en a partida de a fase final a equipe que tiver obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional , realizará a partida en a condição de mandante . ;a equipe ; realizará;a partida en a condição de mandante en a partida de a fase final ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;331;27;en a partida de a fase final a equipe que tiver obtido a melhor campanha en a somatória de todas as fases anteriores , en o caso o Internacional , realizará a partida en a condição de mandante . ;a equipe ; realizará;a partida en a partida de a fase final ;0;1;0;1;2;0;0;1;1;1;1;stanford, orange, mquni, lys;0
