ID SENTENÇA ,SENTENÇA ,ID EXTRAÇÃO ,ARG1 ,REL ,ARG2 ,COERÊNCIA ,MINIMALIDADE ,MÓDULO SUJEITO ,MÓDULO RELAÇÃO ,MÓDULO ARG2,SISTEMA
,,3.0,Similares espíritos divinos , também são encontrados,en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá ,,,1,1,1,mquni
,,4.0,Similares espíritos divinos , também são encontrados,"en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo , e o vodou de o Dahomey ( Benin , Togo , sul de Ghana , e Burkina Faso ",,,1,1,1,mquni
,,5.0,Similares espíritos divinos , também são encontrados,de onde eles derivam - o ,,,1,1,0,mquni
,,6.0,Similares espíritos divinos , também são encontrados,de onde eles derivam - Orixá ,,,1,1,0,mquni
,,7.0,Similares espíritos divinos , também são encontrados,"de onde eles derivam - de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo , e o vodou de o Dahomey ( Benin , Togo , sul de Ghana , e Burkina Faso ",,,1,1,0,mquni
,,8.0,Similares espíritos divinos , também são encontrados,en as tradições de a África Central ,,,1,1,2,mquni
,,9.0,Similares espíritos divinos , também são encontrados,en as tradições de a África África Ocidental ,,,1,1,2,mquni
,,10.0,Similares espíritos divinos , também são encontrados,en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura o nkisi de os tradições Bantu ,,,1,1,2,mquni
,,11.0,Similares espíritos divinos , também são encontrados,"en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Togo , sul de Ghana ",,,1,1,2,mquni
,,12.0,Similares espíritos divinos , também são encontrados,en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Burkina Faso ,,,1,1,2,mquni
,,13.0,eles , derivam,o ,,,1,1,1,mquni
,,14.0,eles , derivam,o Orixá ,,,1,1,1,mquni
,,15.0,eles , derivam,"o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo , e o vodou de o Dahomey ( Benin , Togo , sul de Ghana , e Burkina Faso ",,,1,1,1,mquni
,,16.0,eles , derivam,o onde ,,,1,1,1,mquni
,,17.0,eles , derivam,"o de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo , e o vodou de o Dahomey ( Benin , Togo , sul de Ghana , e Burkina Faso ",,,1,1,0,mquni
,,18.0,eles , derivam,o Orixá de a cultura Yoruba ,,,1,1,2,mquni
,,19.0,eles , derivam,o Orixá de a cultura Yoruba onde ,,,1,1,2,mquni
,,20.0,eles , derivam,en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura o nkisi de os tradições Bantu ,,,1,1,2,mquni
,,21.0,eles , derivam,en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura o nkisi de os tradições Bantu onde ,,,1,1,2,mquni
,,22.0,eles , derivam,"en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Togo , sul de Ghana ",,,1,1,2,mquni
,,23.0,eles , derivam,"en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Togo , sul de Ghana onde ",,,1,1,2,mquni
,,24.0,eles , derivam,en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Burkina Faso ,,,1,1,2,mquni
,,25.0,eles , derivam,en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Burkina Faso onde ,,,1,1,2,mquni
,,26.0,os tradições , é,Bantu ,,,1,3,3,mquni
,,27.0,os tradições , é,( Congo ,,,1,3,3,mquni
,,28.0,o Dahomey , é,( Benin ,,,1,3,3,mquni
50,"É neste braço que se encontra a cidade de Lecco , e en o cruzamento deste braço com o braço de Sudoeste , a PRTe Sudoeste de o lago de Como , que se encontra Bellagio . ",1.0,a PRTe , é,Sudoeste de o lago de Como ,,,1,3,3,mquni
,,2.0,a PRTe , encontra,se Bellagio ,,,2,5,1,mquni
51,"Desde ontem integrado a o elenco , o levantador Maurício iniciou seu treino en a seleção sob o olhar atento de o preparador físico Júlio Noronha . ",1.0,o levantador , iniciou,seu treino ,,,1,1,1,mquni
,,2.0,o levantador , iniciou,seu treino en a seleção ,,,1,1,1,mquni
,,3.0,o levantador , iniciou,seu treino en a seleção sob o olhar atento de o preparador físico Júlio Noronha ,,,1,1,1,mquni
,,4.0,o levantador , iniciou,seu treino integrado Desde ontem ,,,1,1,1,mquni
,,5.0,o levantador , iniciou,seu treino integrado Desde ontem a o elenco ,,,1,1,1,mquni
,,6.0,o levantador , iniciou,seu treino sob o olhar atento de o preparador físico Júlio Noronha ,,,1,1,0,mquni
,,7.0,o levantador , é,Maurício ,,,1,3,3,mquni
,,8.0,o preparador físico , é,Júlio Noronha ,,,1,3,3,mquni
,,9.0,Maurício , iniciou,seu treino ,,,3,1,1,mquni
,,10.0,Maurício , iniciou,seu treino en a seleção ,,,3,1,1,mquni
,,11.0,Maurício , iniciou,seu treino en a seleção sob o olhar atento de o preparador físico Júlio Noronha ,,,3,1,1,mquni
,,12.0,Maurício , iniciou,seu treino integrado Desde ontem ,,,3,1,1,mquni
,,13.0,Maurício , iniciou,seu treino integrado Desde ontem a o elenco ,,,3,1,1,mquni
,,14.0,Maurício , iniciou,seu treino sob o olhar atento de o preparador físico Júlio Noronha ,,,3,1,0,mquni
52,"A falta de tempo também impede Camila de ir mais a o cinema , a o teatro e a shows . ",1.0,A falta de tempo , também impede,Camila ,,,1,1,1,mquni
,,2.0,A falta de tempo , também impede,Camila de ir mais a o cinema ,,,1,1,1,mquni
,,3.0,A falta de tempo , também impede,"Camila de ir mais a o cinema , a o teatro e a shows ",,,1,1,1,mquni
,,4.0,A falta de tempo , também impede,"Camila , a o teatro e a shows ",,,1,1,0,mquni
,,5.0,A falta de tempo , também impede,"Camila de ir mais a o cinema , a o teatro ",,,1,1,2,mquni
,,6.0,A falta de tempo , também impede,Camila de ir mais a o cinema a shows ,,,1,1,2,mquni
53,"Em 1970 , saí daqui como burro , maluco , irresponsável por ter escalado Rivelino en a ponta . ",,,,,,,,,,mquni
54,O grau de adesão e respeito a essas normas está ligado a os atributos morais de os PRTicipantes . ,1.0,O grau de adesão e respeito a essas normas , está,ligado a os atributos morais de os PRTicipantes ,,,1,1,1,mquni
55,"Vira só restaurante sendo que o bar será deslocado para o pátio de o fundo , com direito a performance de o deejay Bid , mais Bartolo e Hori . ",1.0,o bar , será deslocado,para o pátio de o fundo ,,,1,1,1,mquni
,,2.0,o bar , será deslocado,"para o pátio de o fundo , com direito a performance de o deejay Bid , mais Bartolo e Hori ",,,1,1,1,mquni
,,3.0,o bar , será deslocado,"com direito a performance de o deejay Bid , mais Bartolo e Hori ",,,1,1,0,mquni
,,4.0,o bar , será deslocado,"para o pátio de o fundo , com direito a performance de o deejay Bid ",,,1,1,2,mquni
,,5.0,o bar , será deslocado,"para o pátio de o fundo , com direito a performance de o deejay mais Bartolo ",,,1,1,2,mquni
,,6.0,o bar , será deslocado,"para o pátio de o fundo , com direito a performance de o deejay Hori ",,,1,1,2,mquni
56,"Músicos : Edgard Scandurra , Paulo Tatit , Zaba Moreau , Pedro Ito e Peter Price . ",,,,,,,,,,mquni
57,"a os poucos , chegavam os Zamboni , os Tomasi , os Fitarelli , com suas tradições e , é claro , com cepas de videiras . ",1.0,"os Zamboni , os Tomasi , os Fitarelli ", chegavam,com suas tradições ,,,1,1,1,mquni
,,2.0,"os Zamboni , os Tomasi , os Fitarelli ", chegavam,"com suas tradições e , é claro ",,,1,1,1,mquni
,,3.0,"os Zamboni , os Tomasi , os Fitarelli ", chegavam,"com suas tradições e , é claro , com cepas de videiras ",,,1,1,1,mquni
,,4.0,"os Zamboni , os Tomasi , os Fitarelli ", chegavam,a os poucos ,,,1,1,1,mquni
,,5.0,"os Zamboni , os Tomasi , os Fitarelli ", chegavam,"e , é claro ",,,1,1,0,mquni
,,6.0,"os Zamboni , os Tomasi , os Fitarelli ", chegavam,"e , é , com cepas de videiras ",,,1,1,0,mquni
58,O IPMF foi criado para vigorar somente até o próximo dia 31 . ,1.0,O IPMF , foi criado,para vigorar somente até o próximo dia 31 ,,,1,1,1,mquni
59,Até mesmo en a Organização por a Libertação de a Palestina ( OLP ) houve críticas a o líder . ,1.0,mesmo en a Organização por a Libertação de a Palestina , é,( OLP ,,,1,3,3,mquni
60,"Os 50 contribuintes mais ricos de o país declararam a a Receita Federal en o ano passado um patrimônio de US $ 11,7 bilhões , mas só recolheram US $ 6,2 milhões de Imposto de Renda en o exercício de 1992 . ",1.0,Os 50 contribuintes mais ricos de o país , declararam,a a Receita Federal ,,,1,1,1,mquni
,,2.0,Os 50 contribuintes mais ricos de o país , declararam,a a Receita Federal en o ano passado ,,,1,1,1,mquni
,,3.0,Os 50 contribuintes mais ricos de o país , declararam,"a a Receita Federal en o ano passado um patrimônio de US $ 11,7 bilhões ",,,1,1,1,mquni
,,4.0,Os 50 contribuintes mais ricos de o país , declararam,"a a Receita Federal en o ano passado um patrimônio de US $ 11,7 bilhões , mas só recolheram US $ 6,2 milhões ",,,1,1,1,mquni
,,5.0,Os 50 contribuintes mais ricos de o país , declararam,"a a Receita Federal en o ano passado um patrimônio de US $ 11,7 bilhões , mas só recolheram US $ 6,2 milhões de Imposto de Renda ",,,1,1,1,mquni
,,6.0,Os 50 contribuintes mais ricos de o país , declararam,"a a Receita Federal en o ano passado um patrimônio de US $ 11,7 bilhões , mas só recolheram US $ 6,2 milhões de Imposto de Renda en o exercício de 1992 ",,,1,1,1,mquni
,,7.0,Os 50 contribuintes mais ricos de o país , declararam,"a a Receita Federal um patrimônio de US $ 11,7 bilhões ",,,1,1,0,mquni
,,8.0,Os 50 contribuintes mais ricos de o país , declararam,"a a Receita Federal , mas só recolheram US $ 6,2 milhões ",,,1,1,0,mquni
,,9.0,Os 50 contribuintes mais ricos de o país , declararam,a a Receita Federal de Imposto de Renda ,,,1,1,0,mquni
,,10.0,Os 50 contribuintes mais ricos de o país , declararam,a a Receita en o exercício de 1992 ,,,1,1,0,mquni
61,"Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ",1.0,a violência ," hoje , acontece",fora de os estádios ,,,1,1,1,mquni
,,2.0,a violência ," hoje , acontece","fora de os estádios , en as torcidas ",,,1,1,1,mquni
,,3.0,a violência ," hoje , acontece","fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc ",,,1,1,1,mquni
,,4.0,a violência ," hoje , acontece",en as torcidas ,,,1,1,0,mquni
,,5.0,a violência ," hoje , acontece","e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc ",,,1,1,0,mquni
,,6.0,a violência ," hoje , acontece","fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores ",,,1,1,2,mquni
,,7.0,a violência ," hoje , acontece","fora de os estádios , en as torcidas e , também , dentro de as quatro linhas técnicos ",,,1,1,2,mquni
,,8.0,a violência ," hoje , acontece","fora de os estádios , en as torcidas e , também , dentro de as quatro linhas juízes ",,,1,1,2,mquni
,,9.0,a violência ," hoje , acontece","fora de os estádios , en as torcidas e , também , dentro de as quatro linhas etc ",,,1,1,2,mquni
62,Folha Algumas empresas de Santa Catarina e de São Paulo reajustaram seus preços como consequência de o dissídio salarial concedido a os seus trabalhadores . ,,,,,,,,,,mquni
63,"Dener morreu en o dia 19 de abril em um acidente de carro , en o Rio . ",1.0,Dener , morreu,en o dia 19 de abril ,,,1,1,1,mquni
,,2.0,Dener , morreu,en o dia 19 de abril em um acidente de carro ,,,1,1,1,mquni
,,3.0,Dener , morreu,"en o dia 19 de abril em um acidente de carro , en o Rio ",,,1,1,1,mquni
,,4.0,Dener , morreu,em um acidente de carro ,,,1,1,0,mquni
,,5.0,Dener , morreu,en o Rio ,,,1,1,0,mquni
64,"Segundo o técnico Zé Roberto , após as fériasa seleção vai aproveitar o intervalo até a fase final de a Liga para corrigir as falhas apresentadas en a fase classificatória , entre eles o saque e o passe . ",1.0,as fériasa seleção , vai aproveitar,o intervalo ,,,1,1,1,mquni
,,2.0,as fériasa seleção , vai aproveitar,o intervalo até a fase final de a Liga ,,,1,1,1,mquni
,,3.0,as fériasa seleção , vai aproveitar,o intervalo até a fase final de a Liga para corrigir as falhas ,,,1,1,1,mquni
,,4.0,as fériasa seleção , vai aproveitar,"o intervalo até a fase final de a Liga para corrigir as falhas , entre eles o saque e o passe ",,,1,1,1,mquni
,,5.0,as fériasa seleção , vai aproveitar,o intervalo Segundo o técnico Zé Roberto ,,,1,1,1,mquni
,,6.0,as fériasa seleção , vai aproveitar,o intervalo para corrigir as falhas ,,,1,1,0,mquni
,,7.0,as fériasa seleção , vai aproveitar,"o intervalo , entre eles o saque e o passe ",,,1,1,0,mquni
,,8.0,as fériasa seleção , vai aproveitar,"o intervalo até a fase final de a Liga para corrigir as falhas , entre eles o saque ",,,1,1,2,mquni
,,9.0,as fériasa seleção , vai aproveitar,"o intervalo até a fase final de a Liga para corrigir as falhas , entre eles o saque Segundo o técnico Zé Roberto ",,,1,1,2,mquni
,,10.0,as fériasa seleção , vai aproveitar,o intervalo até a fase final de a Liga para corrigir as falhas o passe ,,,1,1,2,mquni
,,11.0,as fériasa seleção , vai aproveitar,o intervalo até a fase final de a Liga para corrigir as falhas o passe Segundo o técnico Zé Roberto ,,,1,1,2,mquni
,,12.0,o técnico , é,Zé Roberto ,,,1,3,3,mquni
65,"O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ",1.0,a prefeitura , ainda não pagou,os US $ 600 mil ,,,1,1,1,mquni
,,2.0,a prefeitura , ainda não pagou,os US $ 600 mil referentes ,,,1,1,1,mquni
,,3.0,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo ,,,1,1,1,mquni
,,4.0,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ,,,1,1,1,mquni
,,5.0,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro e janeiro ,,,1,1,1,mquni
,,6.0,a prefeitura , ainda não pagou,os US $ en o bairro de a Penha ( zona leste ,,,1,1,0,mquni
,,7.0,a prefeitura , ainda não pagou,os US $ en o bairro en os meses de dezembro e janeiro ,,,1,1,0,mquni
,,8.0,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro ,,,1,1,2,mquni
,,9.0,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de janeiro ,,,1,1,2,mquni
,,10.0,O diretor presidente de a Splice , é,Antonio Beldi ,,,1,3,3,mquni
,,11.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,11.1,a prefeitura , ainda não pagou,os US $ 600 mil ,x,x,x,x,x,mquni
,,12.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,12.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes ,x,x,x,x,x,mquni
,,13.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,13.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo ,x,x,x,x,x,mquni
,,14.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,14.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,15.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,15.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,16.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,16.1,a prefeitura , ainda não pagou,os US $ en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,17.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,17.1,a prefeitura , ainda não pagou,os US $ en o bairro en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,18.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,18.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro ,x,x,x,x,x,mquni
,,19.0,O diretor presidente de a Splice , afirmou,ontem que ,,,1,1,6,mquni
,,19.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de janeiro ,x,x,x,x,x,mquni
,,20.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,20.1,a prefeitura , ainda não pagou,os US $ 600 mil ,x,x,x,x,x,mquni
,,21.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,21.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes ,x,x,x,x,x,mquni
,,22.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,22.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo ,x,x,x,x,x,mquni
,,23.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,23.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,24.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,24.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,25.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,25.1,a prefeitura , ainda não pagou,os US $ en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,26.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,26.1,a prefeitura , ainda não pagou,os US $ en o bairro en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,27.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,27.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro ,x,x,x,x,x,mquni
,,28.0,O diretor presidente de a Splice , afirmou,que ,,,1,1,6,mquni
,,28.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de janeiro ,x,x,x,x,x,mquni
,,29.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,29.1,a prefeitura , ainda não pagou,os US $ 600 mil ,x,x,x,x,x,mquni
,,30.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,30.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes ,x,x,x,x,x,mquni
,,31.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,31.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo ,x,x,x,x,x,mquni
,,32.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,32.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,33.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,33.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,34.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,34.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo ,x,x,x,x,x,mquni
,,35.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,35.1,a prefeitura , ainda não pagou,os US $ en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,36.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,36.1,a prefeitura , ainda não pagou,os US $ en o bairro en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,37.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,37.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro ,x,x,x,x,x,mquni
,,38.0,Antonio Beldi , afirmou,ontem que ,,,3,1,6,mquni
,,38.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de janeiro ,x,x,x,x,x,mquni
,,39.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,39.1,a prefeitura , ainda não pagou,os US $ 600 mil ,x,x,x,x,x,mquni
,,40.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,40.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes ,x,x,x,x,x,mquni
,,41.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,41.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo ,x,x,x,x,x,mquni
,,42.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,42.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,43.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,43.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,44.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,44.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo ,x,x,x,x,x,mquni
,,45.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,45.1,a prefeitura , ainda não pagou,os US $ en o bairro de a Penha ( zona leste ,x,x,x,x,x,mquni
,,46.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,46.1,a prefeitura , ainda não pagou,os US $ en o bairro en os meses de dezembro e janeiro ,x,x,x,x,x,mquni
,,47.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,47.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de dezembro ,x,x,x,x,x,mquni
,,48.0,Antonio Beldi , afirmou,que ,,,3,1,6,mquni
,,48.1,a prefeitura , ainda não pagou,os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste en os meses de janeiro ,x,x,x,x,x,mquni
66,"A queda foi ajudada por a retração de 1,69 % en os preços de os produtos de higiene pessoal , que acumulam redução de 1,91 % en o mês . ",1.0,A queda , foi ajudada,"por a retração de 1,69 % ",,,1,1,1,mquni
,,2.0,A queda , foi ajudada,"por a retração de 1,69 % en os preços de os produtos de higiene pessoal ",,,1,1,1,mquni
,,3.0,A queda , foi ajudada,"por a retração de 1,69 % en os preços de os produtos de higiene pessoal , que acumulam redução de 1,91 % ",,,1,1,1,mquni
,,4.0,A queda , foi ajudada,"por a retração de 1,69 % en os preços de os produtos de higiene pessoal , que acumulam redução de 1,91 % en o mês ",,,1,1,1,mquni
,,5.0,A queda , foi ajudada,por a retração en os preços de os produtos de higiene pessoal ,,,1,1,0,mquni
,,6.0,A queda , foi ajudada,"por a retração en os preços de os produtos , que acumulam redução de 1,91 % ",,,1,1,0,mquni
,,7.0,A queda , foi ajudada,"por a retração en os preços de os produtos , que acumulam redução en o mês ",,,1,1,0,mquni
,,8.0,os produtos de higiene pessoal , acumulam,"redução de 1,91 % ",,,2,1,1,mquni
,,9.0,os produtos de higiene pessoal , acumulam,"redução de 1,91 % en o mês ",,,2,1,1,mquni
67,"Radicalizar por o mundo sobre duas rodas tem dois endereços certos : International Bicycle Fund , agência de cicloturismo em Seatlle ( EUA ) e Abercrombie & Kent , representada en o país por a Interpoint . ",1.0,Seatlle , é,( EUA ,,,1,3,3,mquni
68,"Rebeldes islâmicos fugiram em 1992 de o Tadjiquistão para o Afeganistão , após derrota para forças controladas por ex - comunistas . ",1.0,Rebeldes islâmicos , fugiram,em 1992 de o Tadjiquistão ,,,1,1,1,mquni
,,2.0,Rebeldes islâmicos , fugiram,em 1992 de o Tadjiquistão para o Afeganistão ,,,1,1,1,mquni
,,3.0,Rebeldes islâmicos , fugiram,"em 1992 de o Tadjiquistão para o Afeganistão , após derrota para forças ",,,1,1,1,mquni
,,4.0,Rebeldes islâmicos , fugiram,para o Afeganistão ,,,1,1,0,mquni
,,5.0,Rebeldes islâmicos , fugiram,após derrota para forças ,,,1,1,0,mquni
69,"Ciro Gomes , que ninguém fique com falsa impressão , não mudou em nada . ",1.0,Ciro Gomes , não mudou,em nada ,,,1,1,1,mquni
,,2.0,Ciro Gomes , fique,com falsa ,,,2,1,1,mquni
,,3.0,Ciro Gomes , fique,com falsa impressão ,,,2,1,1,mquni
,,4.0,Ciro Gomes , fique,impressão ,,,2,1,0,mquni
70,Traduzindo em termos simples : nenhum político gosta de colocar azeitona en a empada de seus adversários . ,1.0,nenhum político , gosta,de colocar azeitona ,,,1,1,1,mquni
,,2.0,nenhum político , gosta,de colocar azeitona en a empada de seus adversários ,,,1,1,1,mquni
,,3.0,nenhum político , gosta,de colocar en a empada de seus adversários ,,,1,1,0,mquni
71,"O prefeito , segundo colocado , teria de 27 % a 30 % de os votos . ",1.0,"O prefeito , segundo colocado ", teria,de 27 % ,,,1,1,1,mquni
,,2.0,"O prefeito , segundo colocado ", teria,de 27 % a 30 % de os votos ,,,1,1,1,mquni
,,3.0,"O prefeito , segundo colocado ", teria,a 30 % de os votos ,,,1,1,0,mquni
72,"As embalagens , 33 % . ",,,,,,,,,,mquni
73,"en o início de o sequestro , havia sido pedido um resgate de US $ 12 milhões . ",1.0,um resgate de US $ 12 milhões , havia sido pedido,en o início de o sequestro ,,,1,1,1,mquni
74,Esta é a primeira vez desde 1930 que os EUA conseguem avançar além de a fase inicial de um campeonato mundial de futebol . ,1.0,Esta , é a primeira vez,desde 1930 ,,,1,1,1,mquni
,,2.0,os EUA , conseguem,avançar além de a fase inicial de um campeonato mundial de futebol ,,,1,1,1,mquni
,,3.0,Esta , é,a primeira vez desde 1930 ,,,1,5,1,mquni
75,"A casa de quatro quartos , alugada por a própria Unesp , tem uma imensa infiltração de água en a sala . ",1.0,A casa de quatro quartos , tem,uma imensa infiltração de água ,,,1,1,1,mquni
,,2.0,A casa de quatro quartos , tem,uma imensa infiltração de água en a sala ,,,1,1,1,mquni
76,Ela afirma que as escolas e as pessoas não podem ficar imunes a a tecnologia . ,1.0,as escolas e as pessoas , não podem ficar,imunes a a tecnologia ,,,1,1,1,mquni
,,2.0,Ela , afirma,que ,,,1,1,6,mquni
,,2.1,as escolas e as pessoas , não podem ficar,imunes a a tecnologia ,x,x,x,x,x,mquni
77,"Com isso , só falta marcar a data exata para a convocação extra de os parlamentares . ",,,,,,,,,,mquni
78,O ministro Rubens Ricupero ( Fazenda ) negou que os recursos tenham sido desviados para fins não - sociais . ,1.0,os recursos , tenham sido desviados,para fins não - sociais ,,,1,1,1,mquni
,,2.0,O ministro , é,Rubens Ricupero ,,,1,3,3,mquni
,,3.0,O ministro , é,( Fazenda ,,,1,3,3,mquni
,,4.0,O ministro , negou,que ,,,1,1,6,mquni
,,4.1,os recursos , tenham sido desviados,para fins não - sociais ,x,x,x,x,x,mquni
,,5.0,Rubens Ricupero , negou,que ,,,3,1,6,mquni
,,5.1,os recursos , tenham sido desviados,para fins não - sociais ,x,x,x,x,x,mquni
